episode,length,total_reward,avg_q,exploration
297,501,427.0,79.05662536621094,0.22734199058525087
298,501,425.0,82.26387786865234,0.22621093590572228
299,501,329.0,84.18959045410156,0.2250855083639028
300,501,419.0,77.80070495605469,0.2239656799640824
301,501,433.0,79.24300384521484,0.22285142284983325
302,501,451.0,81.77503967285156,0.2217427093033167
303,501,451.0,74.31656646728516,0.22063951174459373
304,501,357.0,77.52808380126953,0.21954180273093907
305,501,359.0,75.6388931274414,0.2184495549561583
306,501,451.0,71.96783447265625,0.2173627412499088
307,501,429.0,80.12242126464844,0.2162813345770237
308,501,431.0,74.1239242553711,0.21520530803683952
309,501,419.0,76.08656311035156,0.2141346348625269
310,484,432.0,78.44029235839844,0.2130692884204248
311,501,369.0,82.84007263183594,0.21200924220937795
312,501,411.0,80.3317642211914,0.21095446986007757
313,501,455.0,80.56757354736328,0.20990494513440555
314,501,447.0,79.78256225585938,0.20886064192478165
315,501,473.0,77.11835479736328,0.2078215342535141
316,501,441.0,80.73197937011719,0.20678759627215335
317,501,447.0,80.31187438964844,0.2057588022608491
318,501,435.0,80.31721496582031,0.20473512662771057
319,501,465.0,84.93656158447266,0.20371654390816973
320,501,475.0,84.3229751586914,0.202703028764348
321,501,465.0,87.09103393554688,0.2016945559844259
322,501,461.0,83.88407135009766,0.20069110048201586
323,501,453.0,84.47000885009766,0.19969263729553818
324,501,457.0,83.00421905517578,0.19869914158760021
325,501,465.0,81.9920425415039,0.19771058864437835
326,501,443.0,81.18447875976562,0.19672695387500336
327,501,455.0,82.2752456665039,0.19574821281094865
328,501,443.0,76.2890625,0.19477434110542155
329,501,437.0,83.63396453857422,0.1938053145327578
330,501,453.0,85.95609283447266,0.19284110898781873
331,501,443.0,80.02091217041016,0.1918817004853918
332,501,457.0,82.87265014648438,0.19092706515959385
333,501,451.0,79.12918090820312,0.18997717926327748
334,501,419.0,77.22553253173828,0.1890320191674403
335,501,447.0,76.38724517822266,0.18809156136063715
336,501,431.0,85.0998306274414,0.1871557824483952
337,501,443.0,82.62897491455078,0.18622465915263206
338,501,449.0,78.45146179199219,0.1852981683110767
339,501,471.0,78.0896987915039,0.18437628687669325
340,501,443.0,74.78397369384766,0.18345899191710774
341,501,429.0,77.81473541259766,0.18254626061403756
342,501,457.0,74.24072265625,0.18163807026272397
343,501,477.0,72.0143814086914,0.18073439827136714
344,501,437.0,76.3160171508789,0.17983522216056433
